Key,Category,Categories,Business function,Copilot,Industry,Month,Publication date,Customer,Vendor,In-house / 3rd party,Business need,Solution,AI technologies,Results,Other details,Source,Financial effect,Scenario,Scenario Impact level,Scenario Implementation Effort level
1,Proven Cases,Proven Cases,Customer Service,Client Service Copilot,Insurance,11,2024,Manulife,n/a,n/a,AHT improvement,AI powered call summarization and contract lookup,,12% reduction in AHT,,https://www.cbinsights.com/reports/CB-Insights_Generative-AI-Financial-Services-Applications-2025.pdf?ip_et_ctx=23875269_31_9,,Call summarization,High,Low
2,Proven Cases,Proven Cases,Customer Service,Client Service Copilot,Financial Services,2,2025,TD Bank Group,,,,GenAI virtual assistant in our contact centers,,"reductions in called hold times, escalations to second level support, driving efficiency, while enhancing the customer experience.",,https://www.cbinsights.com/reports/CB-Insights_Generative-AI-Financial-Services-Applications-2025.pdf?ip_et_ctx=23875269_31_9,,,,
3,Proven Cases,Proven Cases,Customer Service,Client Service Copilot,Financial Services,7,2024,DBS,n/a,n/a,,"A generative AI-powered virtual assistant that transcribes customer queries live, providing answers to customer support staff based on the bank’s sets of data and information.",,"reduced call handling time by up to 20%, transcription and solutioning accuracy of “nearly 100%”",,https://www.computerweekly.com/news/366596235/DBS-rolls-out-GenAI-assistant-for-customer-service-teams,,Answer suggestion,High,Medium
4,Proven Cases,Proven Cases,Customer Service,Client Service Copilot,Financial Services,9,2023,ING,McKinsey,3rd party,,Generative AI chatbot for customer support,,20% more customers assisted in first seven weeks of use,,https://www.mckinsey.com/industries/financial-services/how-we-help-clients/banking-on-innovation-how-ing-uses-generative-ai-to-put-people-first,,Chatbot,High,High
5,Proven Cases,Proven Cases,Customer Service,Client Service Copilot,Transportation,,,Leading US airline,Kore.ai,3rd party,"The airline’s legacy IVR system needed a complete rethink for complex customer service demands:

Average agent handling time (AHT) was 9 minutes per call, with every second costing $100K annually.
Targeted reduction of AHT by 15 seconds to achieve meaningful cost savings.
Rapidly evolving documentation stored in SharePoint required dynamic, accurate retrieval.
Regulatory requirements mandated consistent, precise language in customer communications.
The airline needed a solution that went beyond basic automation to empower agents with real-time, accurate insights—driving both efficiency and service excellence.","Kore.ai partnered with the airline to deploy Search AI in a 51-day pilot across 48 live agents, demonstrating a hybrid approach that blends generative AI-powered search with live agent support. Key benefits included:

Custom extraction logic tailored to complex document formats and frequent updates.
Integration of generative AI models for accurate, context-aware answers.
Caching mechanisms to ensure consistent responses and reduce operational AI costs.
Fine-tuned LLM and RAG parameters for optimal search relevance and speed.",Fine-tuned LLM and RAG,"20% Cut customer wait time
10% reduced average handle time and speed up resolutions
30% Slashed agent research time and improving info accuracy and speed.
20% Boosted first call resolution and reducing repeat contacts.
25% Estimated higher quality of customer engagement.
5% Increase in customer satisfaction through faster, precise answers.",,https://www.kore.ai/customer-stories/alaska-airlaines-reinvents-contact-center-with-ai,,Knowledge base search,Medium,Medium
6,Proven Cases,Proven Cases,Customer Service,Client Service Copilot,Food Delivery/Logistics,,2024,DoorDash,AWS and Anthropic,3rd party,Streamline support for hundreds of thousands of daily requests; reduce latency and escalations.,"Voice-operated, self-service generative AI contact center using a RAG architecture.","Generative AI, Amazon Bedrock, Amazon Connect, Anthropic's Claude 3 Haiku, RAG",Response latency <2.5s; 'large and material reductions' in call volumes; thousands fewer escalations/day; earlier IVR project saved $3M/year.,,https://aws.amazon.com/solutions/case-studies/doordash-bedrock-case-study/,,"Knowledge base search,Answer suggestion",,
7,Proven Cases,Proven Cases,Customer Service,Client Service Copilot,Telecommunications,5,2024,Verizon,Google,3rd party,"Improve efficiency, achieve hyper-personalization, and free agents for sales.",Suite of GenAI apps including 'Personal Research Assistant' and 'Personal Shopper/Problem Solver'.,"Generative AI, Google Gemini LLM, Conversational AI",40% increase in sales from reskilled agents; 95% of queries answered comprehensively.,,https://www.reuters.com/technology/verizon-says-google-ai-customer-service-agents-has-led-sales-jump-2025-04-09/,,Agent copilot,,
8,Proven Cases,Proven Cases,Customer Service,Client Service Copilot,Airline,2,2024,United Airlines,Internal development,In-house,Enhance customer experience during flight delays with empathetic explanations.,GenAI system to synthesize operational data into transparent SMS/app notifications.,"Generative AI, LLMs, fine-tuned Google Gemini",Customer satisfaction rose by 6%; scaled initiative from 15% to 50% of delayed flights.,,https://www.cio.com/article/3624045/united-airlines-sets-its-flight-plan-for-gen-ai-success.html,,Notifications,Low,Low
9,Proven Cases,Proven Cases,Customer Service,Client Service Copilot,Fashion Retail,7,2024,Motel Rocks,Zendesk,3rd party,"Manage high inquiry volume, maintain brand voice, and sense customer mood.",Hybrid model with AI chatbots for self-service and intelligent triage for agents.,"Zendesk Advanced AI, Chatbots, Sentiment Analysis",43% of tickets deflected by AI; 50% reduction in ticket volume; CSAT increased by 9.44%.,,https://www.vktr.com/ai-disruption/5-ai-case-studies-in-customer-service-and-support/,,Chatbot,High,High
10,Proven Cases,Proven Cases,Customer Service,Client Service Copilot,Retail,7,2024,Camping World,IBM,3rd party,"Handle call surges, missed after-hours calls, and lost sales leads.","AI assistant 'Arvee' to take calls 24/7, answer questions, and capture data.","Cognitive AI, AI assistant (voicebot)",40% increase in customer engagement; 33-second drop in wait times; 33% increase in agent efficiency.,,https://www.vktr.com/ai-disruption/5-ai-case-studies-in-customer-service-and-support/,,Chatbot,High,High
