,Key,Business function,Copilot,Industry,Month,Publication date,Customer,Vendor,Business need,Solution,AI technologies,Results,Other details,Source,Financial effect,Scenario,Scenario Impact level,Scenario Implementation Effort level
0,1,Customer Service,Client Service Copilot,Insurance,11.0,2024.0,Manulife,,AHT improvement,AI powered call summarization and contract lookup,,12% reduction in AHT,,https://www.cbinsights.com/reports/CB-Insights_Generative-AI-Financial-Services-Applications-2025.pdf?ip_et_ctx=23875269_31_9,,Call summarization,High,Low
1,2,Customer Service,Client Service Copilot,Financial Services,2.0,2025.0,TD Bank Group,,,GenAI virtual assistant in our contact centers,,"reductions in called hold times, escalations to second level support, driving efficiency, while enhancing the customer experience.",,https://www.cbinsights.com/reports/CB-Insights_Generative-AI-Financial-Services-Applications-2025.pdf?ip_et_ctx=23875269_31_9,,,,
2,3,Customer Service,Client Service Copilot,Financial Services,7.0,2024.0,DBS,,,"A generative AI-powered virtual assistant that transcribes customer queries live, providing answers to customer support staff based on the bank’s sets of data and information.",,"reduced call handling time by up to 20%, transcription and solutioning accuracy of “nearly 100%”",,https://www.computerweekly.com/news/366596235/DBS-rolls-out-GenAI-assistant-for-customer-service-teams,,Answer suggestion,High,Medium
3,4,Customer Service,Client Service Copilot,Financial Services,9.0,2023.0,ING,McKinsey,,Generative AI chatbot for customer support,,20% more customers assisted in first seven weeks of use,,https://www.mckinsey.com/industries/financial-services/how-we-help-clients/banking-on-innovation-how-ing-uses-generative-ai-to-put-people-first,,Chatbot,High,High
4,5,Customer Service,Client Service Copilot,Transportation,,,Leading US airline,Kore.ai,"The airline’s legacy IVR system needed a complete rethink for complex customer service demands:

Average agent handling time (AHT) was 9 minutes per call, with every second costing $100K annually.
Targeted reduction of AHT by 15 seconds to achieve meaningful cost savings.
Rapidly evolving documentation stored in SharePoint required dynamic, accurate retrieval.
Regulatory requirements mandated consistent, precise language in customer communications.
The airline needed a solution that went beyond basic automation to empower agents with real-time, accurate insights—driving both efficiency and service excellence.","Kore.ai partnered with the airline to deploy Search AI in a 51-day pilot across 48 live agents, demonstrating a hybrid approach that blends generative AI-powered search with live agent support. Key benefits included:

Custom extraction logic tailored to complex document formats and frequent updates.
Integration of generative AI models for accurate, context-aware answers.
Caching mechanisms to ensure consistent responses and reduce operational AI costs.
Fine-tuned LLM and RAG parameters for optimal search relevance and speed.",Fine-tuned LLM and RAG,"20% Cut customer wait time
10% reduced average handle time and speed up resolutions
30% Slashed agent research time and improving info accuracy and speed.
20% Boosted first call resolution and reducing repeat contacts.
25% Estimated higher quality of customer engagement.
5% Increase in customer satisfaction through faster, precise answers.",,https://www.kore.ai/customer-stories/alaska-airlaines-reinvents-contact-center-with-ai,,Knowledge base search,Medium,Medium
5,6,Customer Service,Client Service Copilot,Food Delivery/Logistics,,2024.0,DoorDash,AWS and Anthropic,Streamline support for hundreds of thousands of daily requests; reduce latency and escalations.,"Voice-operated, self-service generative AI contact center using a RAG architecture.","Generative AI, Amazon Bedrock, Amazon Connect, Anthropic's Claude 3 Haiku, RAG",Response latency <2.5s; 'large and material reductions' in call volumes; thousands fewer escalations/day; earlier IVR project saved $3M/year.,,https://aws.amazon.com/solutions/case-studies/doordash-bedrock-case-study/,,"Knowledge base search,Answer suggestion",,
6,7,Customer Service,Client Service Copilot,Telecommunications,5.0,2024.0,Verizon,Google,"Improve efficiency, achieve hyper-personalization, and free agents for sales.",Suite of GenAI apps including 'Personal Research Assistant' and 'Personal Shopper/Problem Solver'.,"Generative AI, Google Gemini LLM, Conversational AI",40% increase in sales from reskilled agents; 95% of queries answered comprehensively.,,https://www.reuters.com/technology/verizon-says-google-ai-customer-service-agents-has-led-sales-jump-2025-04-09/,,Agent copilot,,
7,8,Customer Service,Client Service Copilot,Airline,2.0,2024.0,United Airlines,Internal development,Enhance customer experience during flight delays with empathetic explanations.,GenAI system to synthesize operational data into transparent SMS/app notifications.,"Generative AI, LLMs, fine-tuned Google Gemini",Customer satisfaction rose by 6%; scaled initiative from 15% to 50% of delayed flights.,,https://www.cio.com/article/3624045/united-airlines-sets-its-flight-plan-for-gen-ai-success.html,,Notifications,Low,Low
8,9,Customer Service,Client Service Copilot,Fashion Retail,7.0,2024.0,Motel Rocks,Zendesk,"Manage high inquiry volume, maintain brand voice, and sense customer mood.",Hybrid model with AI chatbots for self-service and intelligent triage for agents.,"Zendesk Advanced AI, Chatbots, Sentiment Analysis",43% of tickets deflected by AI; 50% reduction in ticket volume; CSAT increased by 9.44%.,,https://www.vktr.com/ai-disruption/5-ai-case-studies-in-customer-service-and-support/,,Chatbot,High,High
9,10,Customer Service,Client Service Copilot,Retail,7.0,2024.0,Camping World,IBM,"Handle call surges, missed after-hours calls, and lost sales leads.","AI assistant 'Arvee' to take calls 24/7, answer questions, and capture data.","Cognitive AI, AI assistant (voicebot)",40% increase in customer engagement; 33-second drop in wait times; 33% increase in agent efficiency.,,https://www.vktr.com/ai-disruption/5-ai-case-studies-in-customer-service-and-support/,,Chatbot,High,High
10,11,Customer Service,Client Service Copilot,Telecommunications,2.0,2024.0,Telstra,"Microsoft,Accenture",Enable agents to quickly access massive data stores to improve speed and efficiency.,In-house GenAI tools: 'One Sentence Summary' and 'Ask Telstra' internal search.,"Microsoft Azure OpenAI service, Generative AI, LLMs",20% less follow-up on calls; 90% of agents reported being more effective and saving time.,,https://www.vktr.com/ai-disruption/5-ai-case-studies-in-customer-service-and-support/,,"Knowledge base search,Customer history context",High,Medium
11,12,Customer Service,Client Service Copilot,Project Management Software,7.0,2024.0,ClickUp,Maven AGI,Handle complex inquiries that were stretching the human support team.,Integrated Maven AGI’s Co-Pilot (built on ChatGPT) for ticket summaries and suggested responses.,"Maven AGI’s Co-Pilot, ChatGPT, Agent Assist",Representative solves per hour increased by 25% within one week.,,https://www.vktr.com/ai-disruption/5-ai-case-studies-in-customer-service-and-support/,,"Customer history context,Answer suggestion",,
12,13,Customer Service,Client Service Copilot,Smart Devices/Electronics,8.0,2025.0,OPPO,Sobot,"Manage high inquiry volumes, reduce agent workload, and improve satisfaction.","Advanced AI-powered chatbot and ticketing system for automated, multilingual responses.","AI-powered chatbot, Ticketing system",83% chatbot resolution rate; 57% boost in repurchase rates; NPS increased by over 35%.,,https://www.sobot.io/article/ai-customer-service-case-studies-2025-support-satisfaction-cost/,,Chatbot,High,High
13,14,Field Service,Client Service Copilot,Manufacturing,,2025.0,Haceb,Microsoft,Enable technicians to troubleshoot and diagnose issues more efficiently in the field.,Virtual technical support assistant 'Wilson' in Microsoft Teams for instant access to manuals.,"Generative AI, Microsoft Azure OpenAI Service, Microsoft Copilot Studio","Freed almost 5,000 hours for the service team; achieved 90% confidence in first-visit diagnoses.",,https://news.microsoft.com/es-xl/wilson-hacebs-technical-assistant-that-uses-artificial-intelligence-to-revolutionize-customer-service/,,Chatbot,High,High
14,15,Customer Service,Client Service Copilot,Financial Services,,2025.0,Hero FinCorp,Microsoft,"Handle high-volume, multilingual queries and reduce costs.","H.Ai' bot, created with Azure OpenAI, to manage customer queries.",Microsoft Azure OpenAI,"Handled >50,000 multilingual queries, boosting productivity and reducing operational costs.",,https://www.microsoft.com/en-in/aifirstmovers/hero-fincorp,,Multilingual support,,
15,16,Customer Service,Client Service Copilot,Automotive,,2025.0,Hero MotoCorp,Microsoft,Improve post-purchase experience with easy access to service and parts info.,Customer support solution for post-purchase engagement using Azure OpenAI.,Microsoft Azure OpenAI Service,"Improved post-purchase experience, likely increasing satisfaction and loyalty.",,https://www.microsoft.com/en-in/aifirstmovers/heromotocorp,,Chatbot,High,High
16,17,Customer Service,Client Service Copilot,Airline,,2025.0,IndiGo,Microsoft,"Offer a seamless, modern conversational service experience.",6Eskai' chatbot platform using GPT-4 and GPT-4 Turbo.,"Microsoft Azure OpenAI Service, GPT-4, GPT-4 Turbo",Reportedly reduced the workload of customer service agents by 75%.,,https://www.microsoft.com/en-in/aifirstmovers/indigo,,"Chatbot,Answer suggestion",,
17,18,Customer Service,Client Service Copilot,BPO/Call Center,,2025.0,Insight,Microsoft,Improve call routing efficiency and reduce human agent involvement.,Interactive voice assistant (IVA) for call centers developed with Azure OpenAI.,"Microsoft Azure OpenAI, Interactive Voice Assistant (IVA)",Anticipating a drop in human-routed calls from 90% down to 40%.,,https://partner.microsoft.com/en-us/case-studies/insight-us-azure-openai,,Voice bot,High,High
18,19,Customer Service,Client Service Copilot,Public Sector/Legal Services,,2025.0,New Zealand Public Trust,Microsoft,"Enhance engagement, speed up resolution, and increase efficiency for legal services.",Integrated solution using Dynamics 365 Contact Center and Copilot to unify channels.,"Microsoft Dynamics 365 Contact Center, Microsoft Copilot","Enhanced customer engagement, faster issue resolution, and increased overall efficiency.",,https://www.microsoft.com/en/customers/story/23374-public-trust-dynamics-365-contact-center,,"Call summarization,Analytics,Customer history context",,
19,20,Customer Service,Client Service Copilot,Non-profit/Education,,2025.0,Toastmasters International,Microsoft,Enable member self-service and automate manual processes.,Suite of Microsoft products including Dynamics 365 and an AI-powered Contact Center.,"Microsoft Dynamics 365, AI-powered Contact Center","Enabled member self-service, automated manual processes, and helped staff address concerns faster.",,https://www.microsoft.com/en/customers/story/23396-toastmasters-international-dynamics-365-customer-service,,Chatbot,High,High
20,21,Customer Service,Client Service Copilot,Telecommunications,,2025.0,AT&T,Internal development,Reduce spam/fraud calls and handle routine phone tasks without an app.,Testing a network-based 'AI Digital Receptionist' to screen calls.,"Agentic AI, Voice-to-Voice AI, LLMs",Underlying system blocks/labels over 2 billion robocalls per month.,,https://about.att.com/blogs/2025/ai-digital-receptionist.html,,Voice bot,High,High
